"Categoria Agronomica","Nome Comune della Specie","Classe","Ordine","Famiglia","Genere","Specie"
"Agrumi","Clementine","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus × clementina"
"Agrumi","Limone","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus limon"
"Agrumi","Pompelmo","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus × paradisi"
"Agrumi","Cedro","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus medica"
"Agrumi","Bergamotto","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus × bergamia"
"Oleaceae","Olivo","Magnoliopsida","Lamiales","Oleaceae","Olea","Olea europaea"
"Frutta a guscio","Nocciolo","Magnoliopsida","Fagales","Betulaceae","Corylus","Corylus avellana"
"Frutta a guscio","Noce","Magnoliopsida","Fagales","Juglandaceae","Juglans","Juglans regia"
"Frutta a guscio","Castagno","Magnoliopsida","Fagales","Fagaceae","Castanea","Castanea sativa"
"Frutta a guscio","Pistacchio","Magnoliopsida","Sapindales","Anacardiaceae","Pistacia","Pistacia vera"
"Frutti minori","Fico","Magnoliopsida","Rosales","Moraceae","Ficus","Ficus carica"
"Frutti minori","Melograno","Magnoliopsida","Myrtales","Lythraceae","Punica","Punica granatum"
"Frutti minori","Kaki","Magnoliopsida","Ericales","Ebenaceae","Diospyros","Diospyros kaki"
"Frutti minori","Giuggiolo","Magnoliopsida","Rosales","Rhamnaceae","Ziziphus","Ziziphus jujuba"
"Piccoli frutti","Fragola","Magnoliopsida","Rosales","Rosaceae","Fragaria","Fragaria × ananassa"
"Piccoli frutti","Lampone","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus idaeus"
"Piccoli frutti","Mora","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus fruticosus"
"Piccoli frutti","Mirtillo nero","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium myrtillus"
"Piccoli frutti","Mirtillo gigante","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium corymbosum"
"Piccoli frutti","Ribes rosso","Magnoliopsida","Saxifragales","Grossulariaceae","Ribes","Ribes rubrum"
"Piccoli frutti","Ribes nero","Magnoliopsida","Saxifragales","Grossulariaceae","Ribes","Ribes nigrum"
"Piccoli frutti","Uva spina","Magnoliopsida","Saxifragales","Grossulariaceae","Ribes","Ribes uva-crispa"
"Solanaceae orticole","Peperone","Magnoliopsida","Solanales","Solanaceae","Capsicum","Capsicum annuum"
"Solanaceae orticole","Melanzana","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum melongena"
"Solanaceae orticole","Patata","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum tuberosum"
"Cucurbitaceae","Zucchino","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita pepo"
"Cucurbitaceae","Zucca","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita maxima"
"Cucurbitaceae","Cetriolo","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cucumis","Cucumis sativus"
"Cucurbitaceae","Melone","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cucumis","Cucumis melo"
"Cucurbitaceae","Anguria","Magnoliopsida","Cucurbitales","Cucurbitaceae","Citrullus","Citrullus lanatus"
"Brassicaceae","Cavolo cappuccio","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Brassica oleracea var. capitata"
"Brassicaceae","Cavolfiore","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Brassica oleracea var. botrytis"
"Brassicaceae","Broccolo","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Brassica oleracea var. italica"
"Brassicaceae","Cavolo nero","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Brassica oleracea var. palmifolia"
"Brassicaceae","Cavoletti di Bruxelles","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Brassica oleracea var. gemmifera"
"Brassicaceae","Rapa","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Brassica rapa subsp. rapa"
"Brassicaceae","Rucola","Magnoliopsida","Brassicales","Brassicaceae","Eruca","Eruca sativa"
"Asteraceae","Lattuga","Magnoliopsida","Asterales","Asteraceae","Lactuca","Lactuca sativa"
"Asteraceae","Carciofo","Magnoliopsida","Asterales","Asteraceae","Cynara","Cynara cardunculus var. scolymus"
"Asteraceae","Indivia","Magnoliopsida","Asterales","Asteraceae","Cichorium","Cichorium endivia"
"Asteraceae","Radicchio","Magnoliopsida","Asterales","Asteraceae","Cichorium","Cichorium intybus"
"Apiaceae","Carota","Magnoliopsida","Apiales","Apiaceae","Daucus","Daucus carota subsp. sativus"
"Apiaceae","Sedano","Magnoliopsida","Apiales","Apiaceae","Apium","Apium graveolens var. dulce"
"Apiaceae","Finocchio","Magnoliopsida","Apiales","Apiaceae","Foeniculum","Foeniculum vulgare var. azoricum"
"Apiaceae","Prezzemolo","Magnoliopsida","Apiales","Apiaceae","Petroselinum","Petroselinum crispum"
"Amaryllidaceae","Cipolla","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium cepa"
"Amaryllidaceae","Aglio","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium sativum"
"Amaryllidaceae","Porro","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium porrum"
"Amaryllidaceae","Scalogno","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium cepa var. aggregatum"
"Fabaceae","Pisello","Magnoliopsida","Fabales","Fabaceae","Pisum","Pisum sativum"
"Fabaceae","Fagiolo","Magnoliopsida","Fabales","Fabaceae","Phaseolus","Phaseolus vulgaris"
"Fabaceae","Fava","Magnoliopsida","Fabales","Fabaceae","Vicia","Vicia faba"
"Fabaceae","Ceci","Magnoliopsida","Fabales","Fabaceae","Cicer","Cicer arietinum"
"Fabaceae","Lupino","Magnoliopsida","Fabales","Fabaceae","Lupinus","Lupinus albus"
"Fabaceae","Soia","Magnoliopsida","Fabales","Fabaceae","Glycine","Glycine max"
"Poaceae (Cereali)","Grano tenero","Liliopsida","Poales","Poaceae","Triticum","Triticum aestivum"
"Poaceae (Cereali)","Grano duro","Liliopsida","Poales","Poaceae","Triticum","Triticum turgidum subsp. durum"
"Poaceae (Cereali)","Orzo","Liliopsida","Poales","Poaceae","Hordeum","Hordeum vulgare"
"Poaceae (Cereali)","Mais","Liliopsida","Poales","Poaceae","Zea","Zea mays"
"Poaceae (Cereali)","Riso","Liliopsida","Poales","Poaceae","Oryza","Oryza sativa"
"Poaceae (Cereali)","Avena","Liliopsida","Poales","Poaceae","Avena","Avena sativa"
"Poaceae (Cereali)","Segale","Liliopsida","Poales","Poaceae","Secale","Secale cereale"
"Poaceae (Cereali)","Farro dicocco","Liliopsida","Poales","Poaceae","Triticum","Triticum turgidum subsp. dicoccum"
"Poaceae (Cereali)","Spelta","Liliopsida","Poales","Poaceae","Triticum","Triticum spelta"
"Poaceae (Cereali)","Monococco","Liliopsida","Poales","Poaceae","Triticum","Triticum monococcum"
"Industrial crops","Barbabietola da zucchero","Magnoliopsida","Caryophyllales","Amaranthaceae","Beta","Beta vulgaris"
"Industrial crops","Girasole","Magnoliopsida","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"Industrial crops","Colza","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Brassica napus"
"Industrial crops","Cartamo","Magnoliopsida","Asterales","Asteraceae","Carthamus","Carthamus tinctorius"
"Industrial crops","Tabacco","Magnoliopsida","Solanales","Solanaceae","Nicotiana","Nicotiana tabacum"
"Industrial crops","Lino","Magnoliopsida","Malpighiales","Linaceae","Linum","Linum usitatissimum"
"Foraggere","Erba medica","Magnoliopsida","Fabales","Fabaceae","Medicago","Medicago sativa"
"Foraggere","Trifoglio rosso","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium pratense"
"Foraggere","Trifoglio bianco","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium repens"
"Aromatiche","Basilico","Magnoliopsida","Lamiales","Lamiaceae","Ocimum","Ocimum basilicum"
"Aromatiche","Rosmarino","Magnoliopsida","Lamiales","Lamiaceae","Salvia","Salvia rosmarinus"
"Aromatiche","Salvia","Magnoliopsida","Lamiales","Lamiaceae","Salvia","Salvia officinalis"
"Aromatiche","Timo","Magnoliopsida","Lamiales","Lamiaceae","Thymus","Thymus vulgaris"
"Aromatiche","Origano","Magnoliopsida","Lamiales","Lamiaceae","Origanum","Origanum vulgare"
"Aromatiche","Alloro","Magnoliopsida","Laurales","Lauraceae","Laurus","Laurus nobilis"
"Myrtaceae","Mirto","Magnoliopsida","Myrtales","Myrtaceae","Myrtus","Myrtus communis"
"Ericaceae","Corbezzolo","Magnoliopsida","Ericales","Ericaceae","Arbutus","Arbutus unedo"
